tour_title,slug,route,destination,category,entity_topic,primary_keyword,primary_volume,primary_kd,primary_intent,secondary_keywords,long_tail_keywords,aeo_questions,entities,reserved_keywords,cannibalization_notes,parent_destination,parent_category,internal_link_targets,opportunity_flags,priority_tier,data_confidence
Wyspa Paradise - rejs z Hurghady,wyspa-paradise,/wycieczki-z-hurghady/wyspa-paradise,hurghada,rejsy-wyspy,Paradise Island,wyspa paradise egipt,320,14,Informational,paradise island 720/25 | paradise island hurghada 210/7 | hurghada paradise island 210/12 | paradise island egipt 210/11 | wyspa paradise 110/4 | hurghada paradise 90/6,hamata paradise N/A | rejs na paradise N/A,Ile kosztuje Wyspa Paradise? | Ile trwa rejs? | Czy jest snorkeling? | Skąd odbiór?,Hurghada | Paradise Island | Wyspa Paradise | Morze Czerwone | rejs | snorkeling,rejsy i wyspy (Rejsy hub) | paradise island 720/25 broad (high KD - use lower-KD variant as primary),Entity reserved to this page by hub map. Primary uses lower-KD 'wyspa paradise egipt' 320/14 over broad 720/25,/wycieczki-z-hurghady/,/wycieczki/rejsy-i-wyspy/,Rejsy hub; Hurghada hub; orange-bay; wyspa-mahmya,HIGH_VOLUME_ENTITY,NEXT_20,High (entity cluster; broad term KD25)
Wycieczka z Hurghady na Wyspę Mahmya,wyspa-mahmya,/wycieczki-z-hurghady/wyspa-mahmya,hurghada,rejsy-wyspy,Mahmya,wyspa mahmya z hurghady,N/A,N/A,Commercial (semantic),mahmya hurghada N/A | rejs na mahmya N/A | wyspa mahmya N/A,orange bay hurghada 480/7 (sibling concept),Ile kosztuje Mahmya? | Ile trwa rejs? | Czy all-inclusive na wyspie? | Skąd odbiór?,Hurghada | Mahmya | Giftun | Morze Czerwone | rejs | snorkeling,rejsy i wyspy (Rejsy hub),"'mahmya' absent from gap export - not zero demand, just no gap keyword",/wycieczki-z-hurghady/,/wycieczki/rejsy-i-wyspy/,Rejsy hub; Hurghada hub; orange-bay; wyspa-eden,NO_SEMRUSH_CLUSTER,REMAINDER,Low (entity absent from gap export)
Wycieczka z Hurghady na Wyspę Eden,wyspa-eden,/wycieczki-z-hurghady/wyspa-eden,hurghada,rejsy-wyspy,Eden Island,wyspa eden z hurghady,N/A,N/A,Commercial (semantic),eden island hurghada N/A | rejs na eden N/A,orange bay hurghada 480/7 (sibling concept),Ile kosztuje Wyspa Eden? | Ile trwa rejs? | Co jest w cenie? | Skąd odbiór?,Hurghada | Eden | Wyspa Eden | Morze Czerwone | rejs | snorkeling,rejsy i wyspy (Rejsy hub),Entity absent from gap export,/wycieczki-z-hurghady/,/wycieczki/rejsy-i-wyspy/,Rejsy hub; Hurghada hub; orange-bay; wyspa-mahmya,NO_SEMRUSH_CLUSTER,REMAINDER,Low (entity absent from gap export)
Wyspa Bianca i łódź ze szklanym dnem - rejs z Hurghady,wyspa-bianca-lodz-szklane-dno,/wycieczki-z-hurghady/wyspa-bianca-lodz-szklane-dno,hurghada,rejsy-wyspy,Bianca + glass-bottom,wyspa bianca z hurghady,N/A,N/A,Commercial (semantic),bianca hurghada N/A | łódź ze szklanym dnem hurghada N/A,orange bay hurghada 480/7 (sibling concept),Ile kosztuje rejs na Wyspę Bianca? | Czy łódź ma szklane dno? | Ile trwa? | Skąd odbiór?,Hurghada | Bianca | łódź ze szklanym dnem | Morze Czerwone | rejs | snorkeling,rejsy i wyspy (Rejsy hub),Entity absent from gap export,/wycieczki-z-hurghady/,/wycieczki/rejsy-i-wyspy/,Rejsy hub; Hurghada hub; lodz-seascope; orange-bay,NO_SEMRUSH_CLUSTER,REMAINDER,Low (entity absent from gap export)
Wycieczka z Hurghady na Wyspę Hula Hula,wyspa-hula-hula,/wycieczki-z-hurghady/wyspa-hula-hula,hurghada,rejsy-wyspy,Hula Hula,hula hula,320,8,Commercial,wyspa hula hula z hurghady N/A | wyspy hula gula 90/27 (misspelled variant),orange bay hurghada 480/7 (sibling concept),Ile kosztuje Hula Hula? | Ile trwa rejs? | Co jest w cenie? | Skąd odbiór?,Hurghada | Hula Hula | Morze Czerwone | rejs | wyspa | snorkeling,rejsy i wyspy (Rejsy hub),Own exact 'hula hula' 320/8 (commercial). Group misspelling 'hula gula' as variant,/wycieczki-z-hurghady/,/wycieczki/rejsy-i-wyspy/,Rejsy hub; Hurghada hub; orange-bay; wyspa-magawish,LOW_KD_OPPORTUNITY | STRONG_TRANSACTIONAL_INTENT,TOP_10,High (exact 320/8 commercial)
Wycieczka z Hurghady na Wyspę Magawish,wyspa-magawish,/wycieczki-z-hurghady/wyspa-magawish,hurghada,rejsy-wyspy,Magawish,wyspa magawish z hurghady,N/A,N/A,Commercial (semantic),magawish hurghada N/A | rejs na magawish N/A,orange bay hurghada 480/7 (sibling concept),Ile kosztuje Wyspa Magawish? | Ile trwa rejs? | Co jest w cenie? | Skąd odbiór?,Hurghada | Magawish | Morze Czerwone | rejs | wyspa | snorkeling,rejsy i wyspy (Rejsy hub),Entity absent from gap export,/wycieczki-z-hurghady/,/wycieczki/rejsy-i-wyspy/,Rejsy hub; Hurghada hub; wyspa-hula-hula; orange-bay,NO_SEMRUSH_CLUSTER,REMAINDER,Low (entity absent from gap export)
"Sharm el Naga - snorkeling, wycieczka z Hurghady",sharm-el-naga-snorkeling,/wycieczki-z-hurghady/sharm-el-naga-snorkeling,hurghada,snorkeling-delfiny,Sharm el Naga,sharm el naga,210,6,Commercial,sharm el naga z hurghady N/A | sharm el naga snorkeling N/A,snorkeling egipt 90/2 (category concept),Ile kosztuje Sharm el Naga? | Ile trwa? | Czy jest snorkeling z brzegu? | Skąd odbiór?,Hurghada | Sharm el Naga | Morze Czerwone | snorkeling | rafa | zatoka,snorkeling i delfiny (Snorkeling hub) | snorkeling egipt 90/2 (hub),Own exact 'sharm el naga' 210/6 (commercial),/wycieczki-z-hurghady/,/wycieczki/snorkeling-i-delfiny/,Snorkeling hub; Hurghada hub; abu-dabbab-snorkeling; dom-delfinow-snorkeling,LOW_KD_OPPORTUNITY | STRONG_TRANSACTIONAL_INTENT,NEXT_20,High (exact 210/6 commercial)
Dom Delfinów (Dolphin House) - rejs z Hurghady,dom-delfinow-snorkeling,/wycieczki-z-hurghady/dom-delfinow-snorkeling,hurghada,snorkeling-delfiny,Dolphin House (Shaab El Erg),dolphin house,170,10,Informational,dom delfinów hurghada N/A | rejs z delfinami hurghady N/A,pływanie z delfinami egipt 110/2 | dolphin house 170/10,Ile kosztuje rejs Dom Delfinów? | Czy na pewno zobaczymy delfiny? | Ile trwa? | Skąd odbiór?,Hurghada | Dolphin House | Shaab El Erg | delfiny | snorkeling | rejs,"snorkeling i delfiny (Snorkeling hub) | dolphin house 170/10 - shared entity, assign to snorkeling (higher intent) not the dive tour",Multi-resort dolphin concept + intra-site vs dive tour #19: 'dolphin house' -> this snorkel page; dive page uses dive modifier,/wycieczki-z-hurghady/,/wycieczki/snorkeling-i-delfiny/,Snorkeling hub; Hurghada hub; dom-delfinow-nurkowanie; sharm-el-naga-snorkeling,MULTI_RESORT_ENTITY | STRONG_TRANSACTIONAL_INTENT,NEXT_20,Medium (shared 'dolphin house' term)
Dom Delfinów z Hurghady - nurkowanie z butlą,dom-delfinow-nurkowanie,/wycieczki-z-hurghady/dom-delfinow-nurkowanie,hurghada,nurkowanie,Dolphin House (nurkowanie),nurkowanie dom delfinów hurghada,N/A,N/A,Commercial (semantic),dolphin house nurkowanie N/A | nurkowanie z delfinami hurghada N/A,nurkowanie hurghada 210/10 (Nurkowanie hub) | dolphin house 170/10 (reserved to snorkel #18),Ile kosztuje nurkowanie w Dom Delfinów? | Czy trzeba mieć uprawnienia? | Ile nurkowań? | Skąd odbiór?,Hurghada | Dolphin House | nurkowanie | butla | delfiny | rafa,nurkowanie w egipcie (Nurkowanie hub) | dolphin house 170/10 (snorkel tour #18),Intra-site: cede 'dolphin house' to snorkel #18; this page owns diving-specific long-tail,/wycieczki-z-hurghady/,/wycieczki/nurkowanie/,Nurkowanie hub; Hurghada hub; dom-delfinow-snorkeling; nurkowanie-na-probe,NO_SEMRUSH_CLUSTER | CANNIBALIZATION_RISK,REMAINDER,Low (no dive-specific CSV term)
Delfinarium w Hurghadzie - pokaz delfinów,delfinarium-dolphin-show,/wycieczki-z-hurghady/delfinarium-dolphin-show,hurghada,atrakcje,Delfinarium Hurghada,delfinarium hurghada,260,7,Commercial,hurghada delfinarium 110/6 | pokaz delfinów hurghada N/A,delfinarium egipt N/A,Ile kosztuje pokaz delfinów w Hurghadzie? | O której są pokazy? | Ile trwa? | Czy dla dzieci?,Hurghada | delfinarium | pokaz delfinów | Dolphin World,"atrakcje i rozrywka (Atrakcje hub - links, not primary)",Own 'delfinarium hurghada' 260/7. Distinct from Sharm dolphin show #69,/wycieczki-z-hurghady/,/wycieczki/atrakcje-i-rozrywka/,Atrakcje hub; Hurghada hub; dolphin-show (Sharm); wielkie-akwarium,LOW_KD_OPPORTUNITY | STRONG_TRANSACTIONAL_INTENT,NEXT_20,High (exact 260/7 commercial)
Nurkowanie z butlą w Hurghadzie,nurkowanie-na-probe,/wycieczki-z-hurghady/nurkowanie-na-probe,hurghada,nurkowanie,Nurkowanie na próbę,nurkowanie na próbę hurghada,N/A,N/A,Commercial (semantic),pierwsze nurkowanie hurghada N/A | nurkowanie z butlą hurghada N/A,nurkowanie hurghada 210/10 (hub secondary) | hurghada nurkowanie 170/8 | rafa koralowa hurghada 170/5,Ile kosztuje nurkowanie na próbę? | Czy trzeba umieć pływać? | Czy z instruktorem? | Ile trwa?,Hurghada | nurkowanie | butla | intro dive | rafa koralowa | instruktor,nurkowanie w egipcie (Nurkowanie hub) | nurkowanie hurghada 210/10 (hub-leaning),'nurkowanie hurghada' 210/10 leans to Nurkowanie hub; tour owns intro-dive long-tail,/wycieczki-z-hurghady/,/wycieczki/nurkowanie/,Nurkowanie hub; Hurghada hub; dom-delfinow-nurkowanie,CANNIBALIZATION_RISK | NEEDS_INFORMATIONAL_SUPPORT,REMAINDER,Low (specific term no vol; hub owns head)
"Abu Dabbab - Zatoka Żółwi, wycieczka z Hurghady",abu-dabbab-snorkeling,/wycieczki-z-hurghady/abu-dabbab-snorkeling,hurghada,snorkeling-delfiny,Abu Dabbab (z Hurghady),abu dabbab z hurghady,N/A,N/A,Commercial (semantic),zatoka żółwi z hurghady N/A | abu dabbab wycieczka z hurghady N/A,abu dabbab 1300/12 (reserved to Marsa #48) | zatoka żółwi 90/2 | abu dabbab beach 170/15,Ile kosztuje Abu Dabbab z Hurghady? | Ile trwa dojazd? | Czy zobaczę żółwie? | Skąd odbiór?,Hurghada | Abu Dabbab | Zatoka Żółwi | żółwie | diugoń | snorkeling,abu dabbab 1300/12 -> reserved to Marsa Alam tour #48 (closer/canonical),MULTI-RESORT: broad 'abu dabbab' -> Marsa #48; this Hurghada page takes departure-modified long-tail,/wycieczki-z-hurghady/,/wycieczki/snorkeling-i-delfiny/,Snorkeling hub; Hurghada hub; abu-dabbab (Marsa #48); sharm-el-naga-snorkeling,MULTI_RESORT_ENTITY | CANNIBALIZATION_RISK,REMAINDER,Medium (broad entity ceded to Marsa)
Wycieczka na plażę Ozirea z Hurghady,plaza-orange-ozirea,/wycieczki-z-hurghady/plaza-orange-ozirea,hurghada,rejsy-wyspy,Plaża Ozirea,plaża ozirea z hurghady,N/A,N/A,Commercial (semantic),ozirea beach hurghada N/A | dzień na plaży hurghada N/A,orange bay hurghada 480/7 (sibling concept),Ile kosztuje dzień na plaży Ozirea? | Co jest w cenie? | Ile trwa? | Skąd odbiór?,Hurghada | Ozirea | Orange | plaża | Morze Czerwone | dzień relaksu,rejsy i wyspy (Rejsy hub) | do NOT collide with orange-bay entity,Contains 'orange' string - keep clearly separate from Orange Bay #10 to avoid confusion,/wycieczki-z-hurghady/,/wycieczki/rejsy-i-wyspy/,Rejsy hub; Hurghada hub; orange-bay; family-safari,NO_SEMRUSH_CLUSTER,REMAINDER,Low (entity absent from gap export)
Rejs Speed Boat z Hurghady,prywatny-speedboat,/wycieczki-z-hurghady/prywatny-speedboat,hurghada,rejsy-wyspy,Prywatny speedboat,prywatny rejs speedboat z hurghady,N/A,N/A,Commercial (semantic),speed boat hurghada N/A | prywatna łódź hurghada N/A,rejs katamaranem 480/7 (category concept),Ile kosztuje prywatny speedboat? | Dla ilu osób łódź? | Ile trwa? | Dokąd płyniemy?,Hurghada | speed boat | prywatna łódź | Morze Czerwone | rejs | snorkeling,rejsy i wyspy (Rejsy hub),Priced per boat (160 USD/łódź) - private/group intent,/wycieczki-z-hurghady/,/wycieczki/rejsy-i-wyspy/,Rejsy hub; Hurghada hub; orange-bay; wyspa-paradise,NO_SEMRUSH_CLUSTER,REMAINDER,Low (no exact CSV term)
Rejs łodzią Seascope z Hurghady,lodz-seascope,/wycieczki-z-hurghady/lodz-seascope,hurghada,atrakcje,Seascope (Hurghada),seascope hurghada,90,8,Informational (transactional),łódź seascope hurghada N/A | łódź półpodwodna hurghada N/A,seascope hurghada 90/8 | łódź podwodna sindbad 90/0 (competitor brand),Ile kosztuje rejs Seascope? | Czy to łódź podwodna? | Ile trwa? | Czy dla dzieci?,Hurghada | Seascope | łódź półpodwodna | rafa | ryby | podwodny świat,atrakcje i rozrywka (Atrakcje hub) | seascope hurghada reserved to this page by hub map,"Multi-resort Seascope (also Marsa #52, Sharm #70): Hurghada owns 'seascope hurghada' 90/8",/wycieczki-z-hurghady/,/wycieczki/atrakcje-i-rozrywka/,Atrakcje hub; Hurghada hub; lodz-seascope (Marsa/Sharm); wielkie-akwarium,MULTI_RESORT_ENTITY | LOW_KD_OPPORTUNITY,NEXT_20,High (exact 90/8 reserved entity)
Wielkie Akwarium w Hurghadzie,wielkie-akwarium,/wycieczki-z-hurghady/wielkie-akwarium,hurghada,atrakcje,Grand Aquarium Hurghada,hurghada grand aquarium,1600,8,Informational,hurghada aquarium 1300/8 | aquarium hurghada 1300/8 | grand aquarium 170/10 | hurghada grand aquarium opinie 110/5 | hurgada grand aquarium 110/5,wielkie akwarium hurghada N/A | akwarium w hurghadzie N/A,Ile kosztuje Wielkie Akwarium? | Godziny otwarcia? | Ile trwa zwiedzanie? | Czy dla dzieci?,Hurghada | Grand Aquarium | akwarium | rekiny | podwodny świat | oceanarium,"atrakcje i rozrywka (Atrakcje hub - links, not primary)",Entity reserved to this page by hub map. Own 'hurghada grand aquarium' 1600/8,/wycieczki-z-hurghady/,/wycieczki/atrakcje-i-rozrywka/,Atrakcje hub; Hurghada hub; delfinarium-dolphin-show; mini-egypt-park,HIGH_VOLUME_ENTITY | LOW_KD_OPPORTUNITY,TOP_10,"High (1600 vol, KD8, exact entity)"
Wycieczka z Hurghady do aquaparku Makadi Water World,aquapark-makadi-water-world,/wycieczki-z-hurghady/aquapark-makadi-water-world,hurghada,atrakcje,Makadi Water World,aquapark makadi water world z hurghady,N/A,N/A,Commercial (semantic),makadi water world N/A | aquapark hurghada N/A,"makadi bay 2400/16 (hotel-zone info, wrong intent) | egipt hurghada hotele z aquaparkiem 30/9",Ile kosztuje aquapark Makadi? | Ile zjeżdżalni? | Czy transfer w cenie? | Czy dla dzieci?,Hurghada | Makadi Water World | aquapark | zjeżdżalnie | Makadi Bay | woda,"makadi bay 2400/16 - informational hotel-zone term, NOT this excursion's primary","'makadi bay' 2400 is destination/hotel intent, not the aquapark day-trip",/wycieczki-z-hurghady/,/wycieczki/atrakcje-i-rozrywka/,Atrakcje hub; Hurghada hub; dzien-rodzinny; mini-egypt-park,NO_SEMRUSH_CLUSTER,REMAINDER,Low (only off-intent hotel-zone term)
Wycieczka do Mini Egypt Park z Hurghady,mini-egypt-park,/wycieczki-z-hurghady/mini-egypt-park,hurghada,atrakcje,Mini Egypt Park,mini egypt park,320,7,Informational,mini egypt park hurghada N/A | park miniatur hurghada N/A,mini egypt park 320/7,Ile kosztuje Mini Egypt Park? | Co można zobaczyć? | Ile trwa? | Czy dla dzieci?,Hurghada | Mini Egypt Park | park miniatur | zabytki Egiptu | model,"atrakcje i rozrywka (Atrakcje hub - links, not primary)",Own exact 'mini egypt park' 320/7,/wycieczki-z-hurghady/,/wycieczki/atrakcje-i-rozrywka/,Atrakcje hub; Hurghada hub; wielkie-akwarium; city-tour,LOW_KD_OPPORTUNITY | STRONG_TRANSACTIONAL_INTENT,TOP_10,High (exact 320/7)
Family Day Hurghada 3 w 1,dzien-rodzinny,/wycieczki-z-hurghady/dzien-rodzinny,hurghada,atrakcje,Family Day 3w1,family day hurghada 3 w 1,N/A,N/A,Commercial (semantic),dzień rodzinny hurghada N/A | family day 3 w 1 N/A,hurghada atrakcje 1000/19 (Hurghada hub / future info),Co obejmuje Family Day 3 w 1? | Dla jakich rodzin? | Ile kosztuje? | Ile trwa?,Hurghada | Family Day | 3 w 1 | rodzina | dzieci | atrakcje,hurghada atrakcje 1000/19 (destination hub),Bundle product - no CSV term; family/child intent,/wycieczki-z-hurghady/,/wycieczki/atrakcje-i-rozrywka/,Atrakcje hub; Hurghada hub; family-safari; aquapark-makadi-water-world,NO_SEMRUSH_CLUSTER,REMAINDER,Low (no exact CSV term)
Family Safari z Hurghady,family-safari,/wycieczki-z-hurghady/family-safari,hurghada,safari,Family Safari,family safari z hurghady,N/A,N/A,Commercial (semantic),safari rodzinne hurghada N/A | safari dla dzieci hurghada N/A,safari hurghada 140/6 (Safari hub secondary) | safari hurghada egypt 140/7,Czy safari jest bezpieczne dla dzieci? | Co obejmuje Family Safari? | Ile kosztuje? | Ile trwa?,Hurghada | Family Safari | pustynia | quad | wioska beduinów | rodzina,safari egipt 170/2 (Safari hub) | safari hurghada 140/6 (hub-leaning),'safari hurghada' leans to Safari hub; this page owns family/child long-tail,/wycieczki-z-hurghady/,/wycieczki/safari-i-quady/,Safari hub; Hurghada hub; super-safari-sahara-park; quad-safari-3h,CANNIBALIZATION_RISK | NEEDS_INFORMATIONAL_SUPPORT,REMAINDER,Low (family term no vol; hub owns head)
